; For Cherry Trail and Braswell platforms
;
; rev 2.8.1
;
; These settings are not part recommendations, nor are they an indication these parts are supported on Intel platforms.
;  
; All parts on this list have NOT been validated, and it is the responsibility of the customer to validate the flash parts used on their platform.
; 
; Flash parts may change opcodes and architectures so please refer to the respective flash datasheet and errata/application note and flash vendor to confirm.
; 
; 
;
;Description of fields:
;  1) Display name
;  2) Device ID (2 or 3 bytes)
;  3) Device Size (in bits in hexadecimal (0x) notation, For example 8 Mbit = (8*1024*1024) = (8,388,608) convert to hex 0x800000
;                  16Mbit=0x1000000, 32Mbit=0x2000000, 64Mbit=0x4000000, 128Mbit=0x8000000, 256Mbit=0x10000000, 512Mbit=0x20000000
;  4) Block Erase Size (in bytes - 256, 4K, 64K)
;  5) Block Erase Command
;  6) Write Granularity (1 or 64)
;  7) Enable Write Status Register Command (1- True, 0- False)
;  8) Chip Erase Command
;  9) Chip Erase Timeout (in milliseconds)
;
; Winbond
W25Q40BV, 0XEF4013, 0x400000, 0x1000, 0x20, 64, 0, 0xc7, 80000	
W25Q80BV, 0xEF4014, 0x800000, 0x1000, 0x20, 64, 0, 0xc7, 80000
W25Q16BV(CV), 0xEF4015, 0x1000000, 0x1000, 0x20, 64, 0, 0xc7, 80000
W25Q32BV(FV), 0xEF4016, 0x2000000, 0x1000, 0x20, 64, 0, 0xc7, 80000
W25Q64BV(CV)(FV), 0xEF4017, 0x4000000, 0x1000, 0x20, 64, 0, 0xc7, 80000
W25Q128BV(FV), 0xEF4018, 0x8000000, 0x1000, 0x20, 64, 0, 0xc7, 80000
W25Q16DW, 0xEF6015, 0x1000000, 0x1000, 0x20, 64, 0, 0xc7, 80000
W25Q64DW, 0XEF6017, 0x4000000, 0x1000, 0x20, 64, 0, 0xc7, 80000
W25Q128FW, 0xEF6018, 0x8000000, 0x1000, 0x20, 64, 0, 0xc7, 80000
W25Q64FW, 0XEF6017, 0x4000000, 0x1000, 0x20, 64, 0, 0xc7, 80000
W25Q16DW, 0xEF6015, 0x1000000, 0x1000, 0x20, 64, 0, 0xc7, 80000
W25Q32DW, 0xEF6016, 0x2000000, 0x1000, 0x20, 64, 0, 0xc7, 80000
W25Q32FW, 0XEF6016, 0x2000000, 0x1000, 0x20, 64, 0, 0xc7, 80000
W25Q40BW, 0XEF5013, 0x400000, 0x1000, 0x20, 64, 0, 0xc7, 80000
W25Q80BW, 0XEF5014, 0x800000, 0x1000, 0x20, 64, 0, 0xc7, 80000
; Macronix
MX25L1605A(D)(36E)(06E), 0xC22015, 0x1000000, 0x1000, 0x20, 64, 0, 0x60, 80000
MX25L3205A(D)(06E), 0xC22016, 0x2000000, 0x10000, 0xD8, 64, 0, 0xC7, 80000
MX25L6405D(45E)(36E)(06E)(73E), 0xC22017, 0x4000000, 0x1000, 0x20, 64, 0, 0x60, 80000
MX25L12805D(45E)(36E)(35E), 0xC22018, 0x8000000, 0x1000, 0x20, 64, 0, 0x60, 80000
MX25L8005(35E)(06E)(36E), 0xC22014, 0x800000, 0x1000, 0x20, 64, 0, 0x60, 80000
MX25L3225D(35D)(36D), 0xC25E16, 0x2000000, 0x10000, 0xD8, 64, 0, 0xC7, 80000
MX25L25635E(L25735E), 0xC22019, 0x10000000, 0x1000, 0x20, 64, 0, 0x60, 80000
MX25L1635D, 0xC22415, 0x1000000, 0x1000, 0x20, 64, 0, 0x60, 80000
MX25L6455E, 0xC22617, 0x4000000, 0x1000, 0x20, 64, 0, 0x60, 80000
MX2L12855E, 0xC22618, 0x8000000, 0x1000, 0x20, 64, 0, 0x60, 80000
MX25L4006E, 0xC22013, 0x400000, 0x1000, 0x20, 64, 0, 0x60, 80000
MX25U6435F, 0xC22537, 0x4000000, 0x1000, 0x20, 64, 0, 0x60, 80000
